EU;437.8000000000011;41.200000000000045
RU;108.39999999999995;5.600000000000002
DE;65.99999999999997;8.000000000000004
MD;1.8;0.2
RS;1.8;0.2
PL;12.400000000000002;2.6
NO;4.8;0.2
ES;6.6;0.4
FR;42.199999999999996;3.800000000000001
NL;18.600000000000005;2.4000000000000004
CH;30.8;3.2
UA;9.4;0.6000000000000001
~~;18.800000000000004;3.200000000000001
--;18.800000000000004;3.200000000000001
IT;12.4;1.6
BE;7.4;0.6000000000000001
GB;50.999999999999986;6.000000000000002
CZ;10.600000000000001;0.4
DK;8.8;0.2
GR;3.0;0.0
RO;6.199999999999999;0.8
SE;5.3999999999999995;0.6000000000000001
LT;1.8;0.2
BG;5.3999999999999995;0.6000000000000001
SK;4.0;0.0
AT;4.999999999999999;1.0
EE;1.2;0.8
HU;1.8;0.2
HR;1.0;0.0
IS;1.0;0.0
MK;1.0;0.0
BY;0.8;0.2
IE;1.0;0.0
FI;2.8;0.2
LU;1.6;0.4
LV;1.0;0.0
AL;0.8;0.2
